grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Athropoda;94930;82696;Athropoda;x;Phylum;Athropoda;1;82696;0;;0;;202423;202423;Arthropoda;x;;;0;0;;;;;Animalia;Biota;;;;;NB;19/4/2016 00:00:00;;;;;;;0
Crustacea;94940;83677;Crustacea;Brünnich, 1772;Subphylum;Crustacea;1;83677;0;;0;;82696;82696;Arthropoda;Brünnich;1772;;0;1;;;;;Arthropoda;Animalia;;;;;NB;19/4/2016 00:00:00;;;;;;;0
Crustacea;94960;85257;Copepoda;Milne-Edwards, 1840;Subclass;Copepoda;1;85257;0;;0;;621145;621145;Arthropoda;Milne-Edwards;1840;;0;1;;;;;Maxillopoda;Crustacea;;;;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;95000;86110;Harpacticoida;Sars M., 1903;Order;Harpacticoida;1;86110;1;1102;1;;610008;610008;Arthropoda;Sars M.;1903;96237;0;1;;;;;Podoplea;Neocopepoda;;1102;1102;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96830;86111;Balaenophilidae;Sars G.O., 1910;Family;Balaenophilidae;1;86111;1;115139;1;;86110;86110;Harpacticoida;Sars G.O.;1910;96244;0;1;;;;;Harpacticoida;Podoplea;;115139;115139;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96835;86112;Balaenophilus;Aurivillius P.O.C., 1879;Genus;Balaenophilus;1;86112;1;115234;1;;86111;86111;Harpacticoida;Aurivillius P.O.C.;1879;96332;0;1;;;;;Balaenophilidae;Harpacticoida;;115234;115234;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96840;86113;Balaenophilus unisetus;Aurivillius P.O.C., 1879;Species;unisetus;1;86113;1;115678;1;;86112;86112;Harpacticoida;Aurivillius P.O.C.;1879;96886;0;1;;;;;Balaenophilus;Balaenophilidae;;115678;115678;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105685;86114;Tegastidae;Sars G.O., 1904;Family;Tegastidae;1;86114;1;115179;1;;86110;86110;Harpacticoida;Sars G.O.;1904;96287;0;1;;;;;Harpacticoida;Podoplea;;115179;115179;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105705;86115;Tegastes;Norman, 1903;Genus;Tegastes;1;86115;1;115447;1;;86114;86114;Harpacticoida;Norman;1903;96552;0;1;;;;;Tegastidae;Harpacticoida;;115447;115447;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105710;86116;Tegastes calcaratus;Sars G.O., 1910;Species;calcaratus;1;86116;1;116505;1;;86115;86115;Harpacticoida;Sars G.O.;1910;98327;0;1;;;;;Tegastes;Tegastidae;;116505;116505;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105730;86117;Tegastes georgei;Marcus & Masry, 1970;Species;georgei;1;86117;1;356047;1;;86115;86115;Harpacticoida;Marcus & Masry;1970;98331;0;1;;;;;Tegastes;Tegastidae;;356047;356047;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105690;86118;Parategastes;Sars G.O., 1904;Genus;Parategastes;1;86118;1;115445;1;;86114;86114;Harpacticoida;Sars G.O.;1904;96551;0;1;;;;;Tegastidae;Harpacticoida;;115445;115445;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105695;86119;Parategastes caprinus;Wellershaus, 1970;Species;caprinus;1;86119;1;354569;1;;86118;86118;Harpacticoida;Wellershaus;1970;98325;0;1;;;;;Parategastes;Tegastidae;;354569;354569;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105165;86120;Porcellidiidae;Boeck, 1865;Family;Porcellidiidae;1;86120;1;115173;1;;86110;86110;Harpacticoida;Boeck;1865;96280;0;1;;;;;Harpacticoida;Podoplea;;115173;115173;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105170;86121;Porcellidium;Claus, 1860;Genus;Porcellidium;1;86121;1;115433;1;;86120;86120;Harpacticoida;Claus;1860;96538;0;1;;;;;Porcellidiidae;Harpacticoida;;115433;115433;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105210;86122;Porcellidium sarsi;Bocquet, 1948;Species;sarsi;1;86122;1;116470;1;;86121;86121;Harpacticoida;Bocquet;1948;98248;0;1;;;;;Porcellidium;Porcellidiidae;;116470;116472;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105180;86123;Porcellidium erythrum;Hicks, 1971;Species;erythrum;1;86123;1;354922;1;;86121;86121;Harpacticoida;Hicks;1971;98244;0;1;;;;;Porcellidium;Porcellidiidae;;354922;354922;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105220;86124;Porcellidium unicus;Ummerkutty, 1970;Species;unicus;1;86124;1;354937;1;;86121;86121;Harpacticoida;Ummerkutty;1970;98250;0;1;;;;;Porcellidium;Porcellidiidae;;354937;766434;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105175;86125;Porcellidium dilatatum;Hicks, 1971;Species;dilatatum;1;86125;1;354920;1;;86121;86121;Harpacticoida;Hicks;1971;98243;0;1;;;;;Porcellidium;Porcellidiidae;;354920;361927;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104155;86126;Longipediidae;Boeck, 1865;Family;Longipediidae;1;86126;1;115160;1;;86110;86110;Harpacticoida;Boeck;1865;96267;0;1;;;;;Harpacticoida;Podoplea;;115160;115160;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104160;86127;Longipedia;Claus, 1862;Genus;Longipedia;1;86127;1;115403;1;;86126;86126;Harpacticoida;Claus;1862;96511;0;1;;;;;Longipediidae;Harpacticoida;;115403;115403;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104175;86128;Longipedia helgolandica;Klie, 1949;Species;helgolandica;1;86128;1;116370;1;;86127;86127;Harpacticoida;Klie;1949;98094;0;1;;;;;Longipedia;Longipediidae;;116370;116370;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104165;86129;Longipedia americana;Wells, 1980;Species;americana;1;86129;1;149920;1;;86127;86127;Harpacticoida;Wells;1980;98092;0;1;;;;;Longipedia;Longipediidae;;149920;149920;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97815;86130;Canuellidae;Lang, 1944;Family;Canuellidae;1;86130;1;115141;1;;86110;86110;Harpacticoida;Lang;1944;96247;0;1;;;;;Harpacticoida;Podoplea;;115141;115141;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97970;86131;Scottolana;Por, 1967;Genus;Scottolana;1;86131;1;534487;1;;86130;86130;Harpacticoida;Por;1967;96358;0;1;;;;;Canuellidae;Harpacticoida;;534487;;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97990;86132;Scottolana canadensis;(Willey, 1923);Species;canadensis;1;86132;0;;0;;86131;86131;Harpacticoida;Willey;1923;97084;0;1;;;;;Scottolana;Canuellidae;;355604;355604;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97975;86135;Scottolana brevifurca;(Wells, 1967);Species;brevifurca;1;86135;0;;0;;86131;86131;Harpacticoida;Wells;1967;97081;0;1;;;;;Scottolana;Canuellidae;;534488;534488;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97980;86136;Scottolana bulbifera;(Chislenko, 1971);Species;bulbifera;1;86136;0;;0;;86131;86131;Harpacticoida;Chislenko;1971;97082;0;1;;;;;Scottolana;Canuellidae;;361026;361026;;NB;19/4/2016 00:00:00;;;;;;;0
