grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Chaetognatha;10200;158655;Sagittoidea;Claus & Grobben, 1905;Class;Sagittoidea;1;158655;0;;0;;158650;158650;Chaetognatha;Claus & Grobben;1905;10200;0;1;;;;;Chaetognatha;Animalia;;5949;5949;2081;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;;0
Cetacea;92100;179913;Mammalia;Linnaeus, 1758;Class;Mammalia;1;179913;1;1837;1;;2000007;158852;Chordata;Linnaeus;1758;92100;0;1;;;;;Tetrapoda;Verdebrata;;1837;1837;1831;NB;22/2/2015 00:00:00;;;;;;;0
Crustacea;94950;621145;Maxillopoda;Dahl, 1956;Class;Maxillopoda;1;621145;0;;0;;83677;83677;Arthropoda;Dahl;1956;;0;1;;;;;Crustacea;Arthropoda;;;;;NB;19/4/2016 00:00:00;;;;;;;0
Brachiopoda;56020;2000020;Rhynchonellata;Williams, Carlson, Brunton, Holmer & Popov, 1996;Class;Rhynchonellata;1;2000020;0;;0;;2000019;2000019;Brachiopoda;Williams, Carlson, Brunton, Holmer & Popov;1996;59800;0;1;;;;;Rhynchonelliformea;Brachiopoda;;104020;104020;104018;NB;28/5/2015 00:00:00;VG;1/6/2015 00:00:00;;;;;0
Brachiopoda;56400;2000025;Craniata;Williams, Carlson, Brunton, Holmer & Popov, 1996;Class;Craniata;1;2000025;0;;0;;2000016;2000016;Brachiopoda;Williams, Carlson, Brunton, Holmer & Popov;1996;59920;0;1;;;;;Craniiformea;Brachiopoda;;104019;104019;104017;NB;28/5/2015 00:00:00;VG;1/6/2015 00:00:00;;;;;0
Harpacticoida;96830;86111;Balaenophilidae;Sars G.O., 1910;Family;Balaenophilidae;1;86111;1;115139;1;;86110;86110;Harpacticoida;Sars G.O.;1910;96244;0;1;;;;;Harpacticoida;Podoplea;;115139;115139;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105685;86114;Tegastidae;Sars G.O., 1904;Family;Tegastidae;1;86114;1;115179;1;;86110;86110;Harpacticoida;Sars G.O.;1904;96287;0;1;;;;;Harpacticoida;Podoplea;;115179;115179;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105165;86120;Porcellidiidae;Boeck, 1865;Family;Porcellidiidae;1;86120;1;115173;1;;86110;86110;Harpacticoida;Boeck;1865;96280;0;1;;;;;Harpacticoida;Podoplea;;115173;115173;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104155;86126;Longipediidae;Boeck, 1865;Family;Longipediidae;1;86126;1;115160;1;;86110;86110;Harpacticoida;Boeck;1865;96267;0;1;;;;;Harpacticoida;Podoplea;;115160;115160;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97815;86130;Canuellidae;Lang, 1944;Family;Canuellidae;1;86130;1;115141;1;;86110;86110;Harpacticoida;Lang;1944;96247;0;1;;;;;Harpacticoida;Podoplea;;115141;115141;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105140;86175;Phyllognathopodidae;Gurney, 1932;Family;Phyllognathopodidae;1;86175;1;115172;1;;86110;86110;Harpacticoida;Gurney;1932;96279;0;1;;;;;Harpacticoida;Podoplea;;115172;115172;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98255;86181;Chappuisiidae;Chappuis, 1940;Family;Chappuisiidae;1;86181;1;345985;1;;86110;86110;Harpacticoida;Chappuis;1940;96249;0;1;;;;;Harpacticoida;Podoplea;;345985;345985;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;99405;86182;Darcythompsoniidae;Lang, 1936;Family;Darcythompsoniidae;1;86182;1;115149;1;;86110;86110;Harpacticoida;Lang;1936;96255;0;1;;;;;Harpacticoida;Podoplea;;115149;115149;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;101350;86207;Ectinosomatidae;Sars G.O., 1903;Family;Ectinosomatidae;1;86207;1;115151;1;;86110;86110;Harpacticoida;Sars G.O.;1903;96257;0;1;;;;;Harpacticoida;Podoplea;;115151;115151;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;102175;86329;Harpacticidae;Dana, 1846;Family;Harpacticidae;1;86329;1;115153;1;;86110;86110;Harpacticoida;Dana;1846;96260;0;1;;;;;Harpacticoida;Podoplea;;115153;115153;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;104975;86410;Peltidiidae;Claus, 1860;Family;Peltidiidae;1;86410;1;115171;1;;86110;86110;Harpacticoida;Claus;1860;96278;0;1;;;;;Harpacticoida;Podoplea;;115171;115171;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;99140;86440;Clytemnestridae;Scott A., 1909;Family;Clytemnestridae;1;86440;1;115145;1;;86110;86110;Harpacticoida;Scott A.;1909;96252;0;1;;;;;Harpacticoida;Podoplea;;115145;587514;;NB;19/4/2016 00:00:00;;;;;;;0
