grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Harpacticoida;106800;86512;Idyella tenuis;(Brady, 1910);Species;tenuis;1;86512;0;;0;;86506;86506;Harpacticoida;Brady;1910;98505;0;1;;;;;Idyella;Tisbidae;;293144;293144;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106810;86514;Neoscutellidium yeatmani;Zwerner, 1967;Species;yeatmani;1;86514;1;353759;1;;86513;86513;Harpacticoida;Zwerner;1967;98506;0;1;;;;;Neoscutellidium;Tisbidae;;353759;353759;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106830;86516;Paraidya major;(Sewell, 1940);Species;major;1;86516;0;;0;;86515;86515;Harpacticoida;Sewell;1940;98508;0;1;;;;;Paraidya;Tisbidae;;534133;534133;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106835;86517;Paraidya minor;(Sewell, 1940);Species;minor;1;86517;0;;0;;86515;86515;Harpacticoida;Sewell;1940;98509;0;1;;;;;Paraidya;Tisbidae;;534134;534134;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106840;86518;Paraidya occulta;(Humes & Ho, 1969);Species;occulta;1;86518;0;;0;;86515;86515;Harpacticoida;Humes & Ho;1969;98510;0;1;;;;;Paraidya;Tisbidae;;534135;534135;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106850;86520;Peresime abyssalis;Dinet, 1974;Species;abyssalis;1;86520;1;354712;1;;86519;86519;Harpacticoida;Dinet;1974;98511;0;1;;;;;Peresime;Tisbidae;;354712;354712;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106860;86522;Pseudozosime browni;Scott T., 1912;Species;browni;1;86522;1;293221;1;;86521;86521;Harpacticoida;Scott T.;1912;98512;0;1;;;;;Pseudozosime;Tisbidae;;293221;293221;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106875;86524;Sacodiscus humesi;Stock, 1960;Species;humesi;1;86524;1;116641;1;;86523;86523;Harpacticoida;Stock;1960;98514;0;1;;;;;Sacodiscus;Tisbidae;;116641;116641;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106885;86525;Sacodiscus ovalis;(Wilson C.B., 1944);Species;ovalis;1;86525;0;;0;;86523;86523;Harpacticoida;Wilson C.B.;1944;98516;0;1;;;;;Sacodiscus;Tisbidae;;157717;157717;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;106995;86527;Tachidiopsis bozici;Bodin, 1968;Species;bozici;1;86527;1;355969;1;;86526;86526;Harpacticoida;Bodin;1968;98531;0;1;;;;;Tachidiopsis;Tisbidae;;355969;116385;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107000;86528;Tachidiopsis cyclopoides;Sars G.O., 1911;Species;cyclopoides;1;86528;1;116650;1;;86526;86526;Harpacticoida;Sars G.O.;1911;98532;0;1;;;;;Tachidiopsis;Tisbidae;;116650;116650;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107005;86529;Tachidiopsis ibericus;Becker, 1974;Species;ibericus;1;86529;1;360675;1;;86526;86526;Harpacticoida;Becker;1974;98533;0;1;;;;;Tachidiopsis;Tisbidae;;360675;116386;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107010;86530;Tachidiopsis laubieri;Dinet, 1974;Species;laubieri;1;86530;1;356235;1;;86526;86526;Harpacticoida;Dinet;1974;98534;0;1;;;;;Tachidiopsis;Tisbidae;;356235;580847;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107015;86531;Tachidiopsis parasimilis;Dinet, 1974;Species;parasimilis;1;86531;1;356236;1;;86526;86526;Harpacticoida;Dinet;1974;98535;0;1;;;;;Tachidiopsis;Tisbidae;;356236;580846;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107020;86532;Tachidiopsis sarsi;Bodin, 1968;Species;sarsi;1;86532;1;355970;1;;86526;86526;Harpacticoida;Bodin;1968;98536;0;1;;;;;Tachidiopsis;Tisbidae;;355970;116387;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107025;86533;Tachidiopsis similis;(Drzycimski, 1968);Species;similis;1;86533;0;;0;;86526;86526;Harpacticoida;Drzycimski;1968;98537;0;1;;;;;Tachidiopsis;Tisbidae;;360676;116388;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107240;86536;Tisbella timsae;Gurney, 1927;Species;timsae;1;86536;1;356199;1;;86535;86535;Harpacticoida;Gurney;1927;98576;0;1;;;;;Tisbella;Tisbidae;;356199;356199;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107235;86537;Tisbella pulchella;(Wilson C.B., 1932);Species;pulchella;1;86537;0;;0;;86535;86535;Harpacticoida;Wilson C.B.;1932;98575;0;1;;;;;Tisbella;Tisbidae;;360731;360731;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107250;86539;Tisbintra jonesi;Ummerkutty, 1960;Species;jonesi;1;86539;1;356200;1;;86538;86538;Harpacticoida;Ummerkutty;1960;98577;0;1;;;;;Tisbintra;Tisbidae;;356200;356200;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107255;86540;Tisbintra nankaurica;Sewell, 1940;Species;nankaurica;1;86540;1;212825;1;;86538;86538;Harpacticoida;Sewell;1940;98578;0;1;;;;;Tisbintra;Tisbidae;;212825;212825;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107265;86542;Tisbisoma spinisetum;Bozic, 1964;Species;spinisetum;1;86542;1;356201;1;;86541;86541;Harpacticoida;Bozic;1964;98579;0;1;;;;;Tisbisoma;Tisbidae;;356201;356201;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;107270;86543;Tisbisoma triarticulatum;Wells, 1967;Species;triarticulatum;1;86543;1;356202;1;;86541;86541;Harpacticoida;Wells;1967;98580;0;1;;;;;Tisbisoma;Tisbidae;;356202;356202;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;102165;86546;Euterpina acutifrons;(Dana, 1847);Species;acutifrons;1;86546;0;;0;;86545;86545;Harpacticoida;Dana;1847;97775;0;1;;;;;Euterpina;Euterpinidae;;116162;116162;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105650;86548;Microarthridion littorale;(Poppe, 1881);Species;littorale;1;86548;0;;0;;86547;86547;Harpacticoida;Poppe;1881;98319;0;1;;;;;Microarthridion;Tachidiidae;;116498;116498;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105630;86550;Microarthridion berberum;(Monard, 1936);Species;berberum;1;86550;0;;0;;86547;86547;Harpacticoida;Monard;1936;98315;0;1;;;;;Microarthridion;Tachidiidae;;116496;116496;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105635;86551;Microarthridion fallax;Perkins, 1956;Species;fallax;1;86551;1;116497;1;;86547;86547;Harpacticoida;Perkins;1956;98316;0;1;;;;;Microarthridion;Tachidiidae;;116497;116497;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105645;86553;Microarthridion litospinatus;Shen & Tai, 1973;Species;litospinatus;1;86553;1;353462;1;;86547;86547;Harpacticoida;Shen & Tai;1973;98318;0;1;;;;;Microarthridion;Tachidiidae;;353462;353462;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105655;86554;Microarthridion perkinsi;Bodin, 1970;Species;perkinsi;1;86554;1;359409;1;;86547;86547;Harpacticoida;Bodin;1970;98320;0;1;;;;;Microarthridion;Tachidiidae;;359409;359409;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105660;86555;Microarthridion reductum;(Monard, 1935);Species;reductum;1;86555;0;;0;;86547;86547;Harpacticoida;Monard;1935;98321;0;1;;;;;Microarthridion;Tachidiidae;;116499;116499;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105680;86558;Tachidius triangularis;Shen & Tai, 1963;Species;triangularis;1;86558;1;355984;1;;86557;86557;Harpacticoida;Shen & Tai;1963;98324;0;1;;;;;Tachidius;Tachidiidae;;355984;851560;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105670;86559;Tachidius discipes;Giesbrecht, 1881;Species;discipes;1;86559;1;157725;1;;86557;86557;Harpacticoida;Giesbrecht;1881;98322;0;1;;;;;Tachidius;Tachidiidae;;157725;157725;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105675;86560;Tachidius incisipes;Klie, 1913;Species;incisipes;1;86560;1;355977;1;;86557;86557;Harpacticoida;Klie;1913;98323;0;1;;;;;Tachidius;Tachidiidae;;355977;355977;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;105325;86562;Danielssenia typica;Boeck, 1873;Species;typica;1;86562;1;115836;1;;86561;86561;Harpacticoida;Boeck;1873;98268;0;1;;;;;Danielssenia;Pseudotachidiidae;;115836;115836;;NB;19/4/2016 00:00:00;;;;;;;0
