grouptax;sortnophyl;id;sname;authorship;rank;uninomen;accepted;related_to_accepted;basionym;fk_aphia_basionym;protonym;remarks;parent_id;fk_telangio_taxon;phylum;authonym;year;sortnospe;nothonym;prefavatar;fk_ref_morphonym;comnames;comnames_languages;fk_ref_comnames;taxonp;taxongp;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;workfield;status_synonymy;status_onym;status_chresonym;Fossil
Harpacticoida;98670;87684;Hemimesochra nympha;Por, 1964;Species;nympha;1;87684;1;352271;1;;87681;87681;Harpacticoida;Por;1964;97191;0;1;;;;;Hemimesochra;Cletodidae;;352271;115681;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98675;87685;Hemimesochra secunda;Wells, 1965;Species;secunda;1;87685;1;352273;1;;87681;87681;Harpacticoida;Wells;1965;97192;0;1;;;;;Hemimesochra;Cletodidae;;352273;115713;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98680;87686;Hemimesochra trisetosa;Coull, 1973;Species;trisetosa;1;87686;1;352274;1;;87681;87681;Harpacticoida;Coull;1973;97193;0;1;;;;;Hemimesochra;Cletodidae;;352274;352274;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96670;87688;Hypalocletodes salomonis;Por, 1967;Species;salomonis;1;87688;1;352386;1;;87687;87687;Harpacticoida;Por;1967;96859;0;1;;;;;Hypalocletodes;Argestidae;;352386;352386;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96680;87690;Leptocletodes chaetophorus;Smirnov, 1946;Species;chaetophorus;1;87690;1;352822;1;;87689;87689;Harpacticoida;Smirnov;1946;96860;0;1;;;;;Leptocletodes;Argestidae;;352822;352822;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96685;87691;Leptocletodes debilis;Sars G.O., 1920;Species;debilis;1;87691;1;115648;1;;87689;87689;Harpacticoida;Sars G.O.;1920;96861;0;1;;;;;Leptocletodes;Argestidae;;115648;115648;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98805;87693;Mesopsyllus atargatis;Por, 1960;Species;atargatis;1;87693;1;115712;1;;87692;87692;Harpacticoida;Por;1960;97213;0;1;;;;;Mesopsyllus;Cletodidae;;115712;115712;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98815;87695;Metahuntemannia crassa;(Por, 1965);Species;crassa;1;87695;0;;0;;87694;87694;Harpacticoida;Por;1965;97214;0;1;;;;;Metahuntemannia;Cletodidae;;116194;116194;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98820;87696;Metahuntemannia dovpori;Bodin, 1968;Species;dovpori;1;87696;1;116195;1;;87694;87694;Harpacticoida;Bodin;1968;97215;0;1;;;;;Metahuntemannia;Cletodidae;;116195;116195;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98830;87698;Metahuntemannia gorbunovi;Smirnov, 1946;Species;gorbunovi;1;87698;1;353430;1;;87694;87694;Harpacticoida;Smirnov;1946;97217;0;1;;;;;Metahuntemannia;Cletodidae;;353430;353430;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98835;87699;Metahuntemannia mediterranea;Soyer, 1970;Species;mediterranea;1;87699;1;116198;1;;87694;87694;Harpacticoida;Soyer;1970;97218;0;1;;;;;Metahuntemannia;Cletodidae;;116198;116198;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98840;87700;Metahuntemannia smirnovi;Bodin, 1968;Species;smirnovi;1;87700;1;116200;1;;87694;87694;Harpacticoida;Bodin;1968;97219;0;1;;;;;Metahuntemannia;Cletodidae;;116200;116200;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98845;87701;Metahuntemannia spinosa;(Klie, 1939);Species;spinosa;1;87701;0;;0;;87694;87694;Harpacticoida;Klie;1939;97220;0;1;;;;;Metahuntemannia;Cletodidae;;116201;116201;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98855;87703;Monocletodes varians;(Scott T., 1903);Species;varians;1;87703;0;;0;;87702;87702;Harpacticoida;Scott T.;1903;97221;0;1;;;;;Monocletodes;Cletodidae;;116203;116203;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98865;87705;Nannopodella denisi;Monard, 1928;Species;denisi;1;87705;1;115794;1;;87704;87704;Harpacticoida;Monard;1928;97222;0;1;;;;;Nannopodella;Cletodidae;;115794;115794;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96805;87707;Neoargestes variabilis;Drzycimski, 1967;Species;variabilis;1;87707;1;115675;1;;87706;87706;Harpacticoida;Drzycimski;1967;96883;0;1;;;;;Neoargestes;Argestidae;;115675;115675;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96815;87709;Odiliacletodes gracilis;Soyer, 1964;Species;gracilis;1;87709;1;115676;1;;87708;87708;Harpacticoida;Soyer;1964;96884;0;1;;;;;Odiliacletodes;Argestidae;;115676;115676;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;96825;87711;Parargestes tenuis;(Sars G.O., 1921);Species;tenuis;1;87711;0;;0;;87710;87710;Harpacticoida;Sars G.O.;1921;96885;0;1;;;;;Parargestes;Argestidae;;115677;115677;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98955;87713;Parepactophanes dubia;Noodt, 1958;Species;dubia;1;87713;1;115716;1;;87712;87712;Harpacticoida;Noodt;1958;97237;0;1;;;;;Parepactophanes;Cletodidae;;115716;730844;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98960;87714;Parepactophanes minuta;Kunz, 1935;Species;minuta;1;87714;1;115717;1;;87712;87712;Harpacticoida;Kunz;1935;97238;0;1;;;;;Parepactophanes;Cletodidae;;115717;115717;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98970;87716;Pontopolites typicus;Scott T., 1894;Species;typicus;1;87716;1;116205;1;;87715;87715;Harpacticoida;Scott T.;1894;97239;0;1;;;;;Pontopolites;Cletodidae;;116205;116205;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;97800;87718;Poria derketo;(Por, 1964);Species;derketo;1;87718;0;;0;;87717;87717;Harpacticoida;Por;1964;97055;0;1;;;;;Poria;Canthocamptidae;;115718;534020;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98980;87720;Pseudocletodes vararensis;Scott T. & Scott A., 1893;Species;vararensis;1;87720;1;116206;1;;87719;87719;Harpacticoida;Scott T. & Scott A.;1893;97240;0;1;;;;;Pseudocletodes;Cletodidae;;116206;116206;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;98990;87722;Pyrocletodes desuramus;Coull, 1973;Species;desuramus;1;87722;1;355278;1;;87721;87721;Harpacticoida;Coull;1973;97241;0;1;;;;;Pyrocletodes;Cletodidae;;355278;355278;;NB;19/4/2016 00:00:00;;;;;;;0
Harpacticoida;99065;87724;Stylicletodes longicaudatus;(Brady, 1880);Species;longicaudatus;1;87724;0;;0;;87723;87723;Harpacticoida;Brady;1880;97252;0;1;;;;;Stylicletodes;Cletodidae;;115798;115798;;NB;19/4/2016 00:00:00;;;;;;;0
