SortNoPhyl;id;sname;Authorship;rank;Uninomen;accepted;related_to_accepted;Basionym;FKaphiaBasionym;Protonym;remarks;fk_getangio_taxon;fk_telangio_taxon;GroupTax;Phylum;Authonym;year;SortNoSpe;Nothonym;PrefAvatar;fk_ref_morphonym;ComNames;comnames_languages;fk_ref_comNames;TaxonP;TaxonGP;fk_eunis_morphonym;fk_aphia_morphonym;fk_aphia_ergonym;fk_aphia_parent;checked_by;checked_date;validated_by;validated_date;WorkField;Status_Synonymy;Status_Onym;Status_Chresonym
1;202423;Animalia;noworms, 1603;Kingdom;Animalia;1;202423;0;;0;;1;1;;;;;;0;1;;;;;Biota;;;2;2;1;;;;;;;;
10300;158724;Aphragmophora;Tokioka, 1965;Order;Aphragmophora;1;158724;1;5950;1;;158655;158655;Chaetognatha;Chaetognatha;Tokioka;1965;10300;0;1;;;;;Sagittoidea;Chaetognatha;;5950;5950;5949;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
500000;191131;Archaea;noworms, 1603;Kingdom;Archaea;1;191131;0;;0;;1;1;;;;;;0;1;;;;;Biota;Natura;;8;8;1;NB;29/3/2016 00:00:00;NB;29/3/2016 00:00:00;;;;
400000;202421;Bacteria;noworms, 1603;Kingdom;Bacteria;1;202421;0;;0;;1;1;;;;;;0;1;;;;;Biota;Natura;;6;6;1;NB;29/3/2016 00:00:00;NB;29/3/2016 00:00:00;;;;
10100;158650;Chaetognatha;Leuckhart, 1854;Phylum;Chaetognatha;1;158650;1;2081;0;;202423;202423;Chaetognatha;Chaetognatha;Leuckhart;1854;10100;0;1;;;;;Animalia;Biota;;2081;2081;2;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
300000;590735;Chromista;noworms, 1603;Kingdom;Chromista;1;590735;0;;0;;1;1;;;;;;0;1;;;;;Biota;Natura;;7;7;1;NB;29/3/2016 00:00:00;NB;29/3/2016 00:00:00;;;;
10600;158725;Ctinodontina;nworms, 1502;Suborder;Ctinodontina;0;158724;1;5952;1;;158724;158724;Chaetognatha;Chaetognatha;;;10600;0;1;;;;;;;;5952;5950;5950;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11200;2000000;Decipisagitta;Bieri, 1991;Genus;Decipisagitta;1;2000000;1;370467;1;;158726;158726;Chaetognatha;Chaetognatha;Bieri;1991;12900;0;1;;;;;Sagittidae;Aphragmophora;;370467;370467;5953;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11250;2000001;Decipisagitta decipiens;(Fowler, 1905);Species;decipiens;1;2000001;0;105449;0;;2000000;2000000;Chaetognatha;Chaetognatha;Fowler;1905;13000;0;1;;;;;Decipisagitta;Sagittidae;;370469;370469;370467;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
14100;158690;Eukrohnia;Ritter-Záhony, 1909;Genus;Eukrohnia;1;158690;1;105399;1;;158689;158689;Chaetognatha;Chaetognatha;Ritter-Záhony;1909;11000;0;1;;;;;Eukrohniidae;Phragmophora;;105399;105399;5955;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
14200;158691;Eukrohnia hamata;(Möbius, 1875);Species;hamata;1;158691;0;;0;;158690;158690;Chaetognatha;Chaetognatha;Möbius;1875;11700;0;1;;;;;Eukrohnia;Eukrohniidae;;105416;105416;105399;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
14050;158689;Eukrohniidae;Tokioka, 1965;Family;Eukrohniidae;1;158689;1;5955;1;;158656;158656;Chaetognatha;Chaetognatha;Tokioka;1965;10500;0;1;;;;;Phragmophora;Sagittoidea;;5955;5955;5951;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
10700;158846;Flabellodontina;nworms, 1502;Suborder;Flabellodontina;0;158724;1;15171;1;;158724;158724;Chaetognatha;Chaetognatha;;;10700;0;1;;;;;;;;15171;5950;5950;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11300;158769;Flaccisagitta;Tokioka, 1965;Genus;Flaccisagitta;1;158769;1;105406;1;;158726;158726;Chaetognatha;Chaetognatha;Tokioka;1965;11200;0;1;;;;;Sagittidae;Aphragmophora;;105406;105406;5953;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11330;158773;Flaccisagitta enflata;(Grassi, 1881);Species;enflata;1;158773;0;105451;0;;158769;158769;Chaetognatha;Chaetognatha;Grassi;1881;12100;0;1;;;;;Flaccisagitta;Sagittidae;;105434;105434;105406;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11360;158770;Flaccisagitta hexaptera;(d'Orbigny, 1836);Species;hexaptera;1;158770;0;105453;0;;158769;158769;Chaetognatha;Chaetognatha;d'Orbigny;1836;12200;0;1;;;;;Flaccisagitta;Sagittidae;;105435;105435;105406;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
200000;555705;Fungi;noworms, 1603;Kingdom;Fungi;1;555705;0;;0;;1;1;;;;;;0;1;;;;;Biota;Natura;;4;4;1;NB;29/3/2016 00:00:00;NB;29/3/2016 00:00:00;;;;
13100;158848;Krohnitta;Ritter-Záhony, 1910;Genus;Krohnitta;1;158848;1;105402;1;;158847;158847;Chaetognatha;Chaetognatha;Ritter-Záhony;1910;11600;0;1;;;;;Krohnittidae;Aphragmophora;;105402;105402;15172;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
13200;158849;Krohnitta subtilis;(Grassi, 1881);Species;subtilis;1;158849;0;;0;;158848;158848;Chaetognatha;Chaetognatha;Grassi;1881;12000;0;1;;;;;Krohnitta;Krohnittidae;;105429;105429;105402;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
13000;158847;Krohnittidae;Tokioka, 1965;Family;Krohnittidae;1;158847;1;15172;1;;158724;158724;Chaetognatha;Chaetognatha;Tokioka;1965;10900;0;1;;;;;Aphragmophora;Sagittoidea;;15172;15172;5950;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11400;158775;Mesosagitta;Tokioka, 1965;Genus;Mesosagitta;1;158775;1;105407;1;Also misspelling in GrB <Mesosagattia nid:1029232>.;158726;158726;Chaetognatha;Chaetognatha;Tokioka;1965;11300;0;1;;;;;Sagittidae;Aphragmophora;;105407;105407;5953;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11260;1029239;Mesosagitta decipiens;(Fowler, 1905);Species;decipiens;0;2000001;0;105449;0;Also misspelling in GrB <Mesosagattia decipiens nid:1029239>.;2000001;2000001;Chaetognatha;Chaetognatha;Fowler;1905;12300;0;1;;;;;Mesosagitta;Sagittidae;;105436;370469;370469;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11450;158776;Mesosagitta minima;(Grassi, 1881);Species;minima;1;158776;0;105458;0;Also misspelling in GrB <Mesosagattia decipiens nid:1029234>.;158775;158775;Chaetognatha;Chaetognatha;Grassi;1881;12400;0;1;;;;;Mesosagitta;Sagittidae;;105437;105437;105407;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11500;158783;Parasagitta;Tokioka, 1965;Genus;Parasagitta;1;158783;1;105408;1;;158726;158726;Chaetognatha;Chaetognatha;Tokioka;1965;11350;0;1;;;;;Sagittidae;Aphragmophora;;105408;105408;5953;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11530;158788;Parasagitta friderici;(Ritter-Záhony, 1911);Species;friderici;1;158788;0;105452;0;Misspelled in GrB <Sagitta fredrici>.;158783;158783;Chaetognatha;Chaetognatha;Ritter-Záhony;1911;12500;0;1;;;;;Parasagitta;Sagittidae;;105441;105441;105408;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11560;158795;Parasagitta setosa;(Müller J., 1847);Species;setosa;1;158795;0;154107;0;;158783;158783;Chaetognatha;Chaetognatha;Müller J.;1847;12600;0;1;;;;;Parasagitta;Sagittidae;;105443;105443;105408;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
14000;158656;Phragmophora;Tokioka, 1965;Order;Phragmophora;1;158656;1;5951;1;;158655;158655;Chaetognatha;Chaetognatha;Tokioka;1965;10400;0;1;;;;;Sagittoidea;Chaetognatha;;5951;5951;5949;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
150000;202422;Plantae;noworms, 1603;Kingdom;Plantae;1;202422;0;;0;;1;1;;;;;;0;1;;;;;Biota;Natura;;3;3;1;NB;29/3/2016 00:00:00;NB;29/3/2016 00:00:00;;;;
100000;2000278;Protozoa;noworms, 1603;Kingdom;Protozoa;1;2000278;0;;0;;1;1;;;;;;0;1;;;;;Biota;Natura;;5;5;1;NB;29/3/2016 00:00:00;NB;29/3/2016 00:00:00;;;;
11600;158799;Pseudosagitta;Germain & Joubin, 1912;Genus;Pseudosagitta;1;158799;1;105409;1;;158726;158726;Chaetognatha;Chaetognatha;Germain & Joubin;1912;11400;0;1;;;;;Sagittidae;Aphragmophora;;105409;105409;5953;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11650;158800;Pseudosagitta lyra;(Krohn, 1853);Species;lyra;1;158800;0;105455;0;;158799;158799;Chaetognatha;Chaetognatha;Krohn;1853;12700;0;1;;;;;Pseudosagitta;Sagittidae;;105444;105444;105409;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
13220;158840;Pterosagitta;Costa, 1869;Genus;Pterosagitta;1;158840;1;105403;1;;158839;158839;Chaetognatha;Chaetognatha;Costa;1869;13220;0;1;;;;;Pterosagittidae;Aphragmophora;;105403;105403;15175;GK;20/4/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
13230;158841;Pterosagitta draco;(Krohn, 1853);Species;draco;1;158841;0;;0;;158840;158840;Chaetognatha;Chaetognatha;Krohn;1853;13230;0;1;;;;;Pterosagitta;Pterosagittidae;;105430;105430;105403;GK;20/4/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
13210;158839;Pterosagittidae;Tokioka, 1965;Family;Pterosagittidae;1;158839;1;15175;1;Possibly to be merged under Sagittidae (Gasmi et al., 2014), and not with Spadellidae as suggested by Papillon et al. (2006) from a mistake in sequences.;158724;158724;Chaetognatha;Chaetognatha;Tokioka;1965;13210;0;1;;;;;Aphragmophora;Sagittoidea;;15175;15175;5950;GK;20/4/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11100;158727;Sagitta;Quoy & Gaimard, 1827;Genus;Sagitta;1;158727;1;105410;1;;158726;158726;Chaetognatha;Chaetognatha;Quoy & Gaimard;1827;11450;0;1;;;;;Sagittidae;Aphragmophora;;105410;105410;5953;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11150;158728;Sagitta bipunctata;Quoy & Gaimard, 1827;Species;bipunctata;1;158728;1;105448;1;;158727;158727;Chaetognatha;Chaetognatha;Quoy & Gaimard;1827;12800;0;1;;;;;Sagitta;Sagittidae;;105448;105448;105410;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
10800;158726;Sagittidae;Claus & Grobben, 1905;Family;Sagittidae;1;158726;1;5953;1;;158724;158724;Chaetognatha;Chaetognatha;Claus & Grobben;1905;10800;0;1;;;;;Aphragmophora;Sagittoidea;;5953;5953;5950;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
10200;158655;Sagittoidea;Claus & Grobben, 1905;Class;Sagittoidea;1;158655;0;;0;;158650;158650;Chaetognatha;Chaetognatha;Claus & Grobben;1905;10200;0;1;;;;;Chaetognatha;Animalia;;5949;5949;2081;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11700;158808;Serratosagitta;Tokioka & Pathansali, 1963;Genus;Serratosagitta;1;158808;1;105411;1;;158726;158726;Chaetognatha;Chaetognatha;Tokioka & Pathansali;1963;11500;0;1;;;;;Sagittidae;Aphragmophora;;105411;105411;5953;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
11750;158809;Serratosagitta serratodentata;(Krohn, 1853);Species;serratodentata;1;158809;0;105460;0;;158808;158808;Chaetognatha;Chaetognatha;Krohn;1853;12850;0;1;;;;;Serratosagitta;Sagittidae;;105464;105464;105411;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
14300;158658;Spadella;Langerhans, 1880;Genus;Spadella;1;158658;1;105413;1;;158657;158657;Chaetognatha;Chaetognatha;Langerhans;1880;13010;0;1;;;;;Spadellidae;Phragmophora;;105413;105413;15177;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
14400;158659;Spadella cephaloptera;(Busch, 1851);Species;cephaloptera;1;158659;0;;0;;158658;158658;Chaetognatha;Chaetognatha;Busch;1851;13030;0;1;;;;;Spadella;Spadellidae;;105468;105468;105413;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
14250;158657;Spadellidae;Tokioka, 1965;Family;Spadellidae;1;158657;1;15177;1;;158656;158656;Chaetognatha;Chaetognatha;Tokioka;1965;13020;0;1;;;;;Phragmophora;Sagittoidea;;15177;15177;5951;NB;20/2/2015 00:00:00;GK;20/4/2015 00:00:00;;;;
900000;2000279;Viruses;noworms, 1603;Kingdom;Viruses;1;2000279;0;;0;;1;1;;;;;;0;1;;;;;Biota;Natura;;10;10;1;NB;29/3/2016 00:00:00;NB;29/3/2016 00:00:00;;;;
